level,grammar_pattern,meaning_en,meaning_vi
N3,tame ni,for; in order to; for the benefit of; because of; as a result of ~,vì; để; vì lợi ích của; vì ; bởi vì ~
N3,tashika ni,"surely, certainly ~","chắc chắn, chắc chắn ~"
N3,tate,just done; freshly done; newly done,vừa xong; mới làm xong; mới làm xong
N3,tatoe~temo,even if… is the case,ngay cả khi… là trường hợp
N3,tatoeba,for example; for instance ~,Ví dụ; ví dụ ~
N3,tatte,even if; even though; no matter how ~,ngay cả khi; mặc dù; dù thế nào cũng chỉ ~
N3,te bakari iru,only; nothing but ~,chỉ một; không có gì ngoài ~
N3,te goran,(please) try to; (please) look,(làm ơn) cố gắng; (làm ơn) nhìn
N3,te hajimete,not until; only after [x] did I,không cho đến khi ; chỉ sau [x] thì I
N3,te kara de nai to,must first do; cannot do without first doing ~,đầu tiên phải làm; không thể làm được nếu không làm trước ~
N3,te shou ga nai/te shikata ga nai,can't help but; very; extremely ~,không thể không; rất; cực kỳ ~
N3,te sumu,sufficient by; no problem to; resolve by ~,đủ bởi; không có vấn đề gì; giải quyết bằng ~
N3,te wa ikenai kara,in order to not~; to prevent a negative situation,để không~; để ngăn chặn tình huống tiêu cực
N3,teiru baai janai,this is no time to be doing ~,đây không phải lúc để làm ~
N3,teki,change noun into na-adjective or adverb,đổi danh từ thành tính từ hoặc trạng từ na
N3,temo hajimaranai,even if you... it’s no use; there is no point to ~,ngay cả khi bạn... điều đó cũng vô ích; không có ích gì khi ~
N3,temo kamawanai,it doesn't matter if ~,không sao cả nếu ~
N3,temo shou ga nai / temo shikata ga nai,there's no point to~; it's no use to~; it cannot be helped,không có ích gì đâu~; chẳng ích gì đâu~; không thể nào khác được
N3,to ieba,speaking of; when you talk of; when you say; if it were the case that ~,nói về ; khi bạn nói về; khi bạn nói; nếu đó là trường hợp ~
N3,to ii / tara ii,it would be nice if; should; I hope ~,sẽ thật tuyệt nếu; nên; Tôi hy vọng ~
N3,to ittemo,although I say; although one might say ~,mặc dù tôi nói; mặc dù người ta có thể nói ~
N3,to iu koto da,I heard; it means that; in other words ~,Tôi đã nghe; nó có nghĩa là; nói cách khác ~
N3,to iu nowa,this means; the meaning of … is; because; that is to say ~,điều này có nghĩa là; ý nghĩa của… là; bởi vì; nghĩa là ~
N3,to iu to,speaking of; when you talk of; when you say ~,nói về ; khi bạn nói về; khi bạn nói ~
N3,to iu yori,rather than ~,thay vì ~
N3,to mieru / to miete,it seems that ~,có vẻ như ~
N3,to sureba / to shitara / to suru to,in the case of~; assuming~; if A then B,trong trường hợp~; giả sử~; nếu A thì B
N3,to tomo ni,together with; at the same time as; as well as ~,cùng với ; đồng thời với; cũng như ~
N3,tochuu de / tochuu ni,on the way; in the middle of ~,"trên đường đi; nhân tiện, ở giữa ~"
N3,tokoro de,by the way ~,nhân tiện ~
N3,tokoro ga,even so; however; even though ~,thậm chí như vậy; Tuy nhiên; mặc dù ~
N3,toori ni,in the same way as; in the way; as ~,theo cách tương tự như; trên đường đi; như ~
N3,toosu,to do until the end; to continually do; through ~,làm cho đến cùng; liên tục làm; thông qua ~
N3,toshite,as; in the role of ~,BẰNG; trong vai ~
N3,totemo~nai,cannot possibly be; hardly ~,không thể nào được; hầu như không ~
N3,towa kagiranai,not necessarily so; is not always true,không nhất thiết phải như vậy; không phải lúc nào cũng đúng
N3,tsui,accidentally; unintentionally; by mistake,vô tình; vô tình; do nhầm lẫn
N3,tsui ni,finally; at last; in the end ~,Cuối cùng; cuối cùng; cuối cùng ~
N3,tsuide ni,"while, incidentally, at the same time, on the way ~","trong khi, tình cờ, cùng lúc đó, trên đường đi ~"
N3,tsumari,in other words; in summary; in short ~,nói cách khác; tóm lại; tóm lại là ~
N3,tsumori datta,I thought I~; I believe I~; was planning to~; was intending to ~,Tôi nghĩ là tôi~; Tôi tin tôi~; đang định~; đang có ý định ~
N3,tsumori de,with the intention of doing ~,với ý định làm ~
N3,uchi ni,while; before ~,trong khi; trước ~
N3,ue de,upon; after; when; for; in order to,trên; sau đó; khi; vì; để to
N3,ue ni,as well; besides; in addition to; not only… but also ~,cũng vậy; bên cạnh đó; ngoài ra; không chỉ… mà còn có ~
N3,wa betsu toshite,aside from; apart from; except for; whether or not ~,ngoài ra ; ngoại trừ ; ngoại trừ ; có hay không ~
N3,wa mochiron,not to mention; not only ... but also ~,chưa kể; không chỉ ... mà còn ~
N3,wa~de yuumei,famous for ~,nổi tiếng với ~
N3,wake da,for that reason; no wonder; as you’d expect; the fact is; so you mean ~,vì lý do đó; không có gì lạ; như bạn mong đợi; sự thật là; vậy ý ​​bạn là ~
N3,wake dewa nai,it doesn’t mean that; it is not the case that; I don’t mean that; it is not true that ~,nó không có nghĩa như vậy; không phải vậy đâu; Ý tôi không phải vậy; ~
N3,wake ga nai,there is no way that; it is impossible to ~,"không có cách nào như vậy; không thể đánh thức niwa ikanaiわけにはいかないkhông được; không đủ khả năng; phải, không có lựa chọn nào khác ngoài ~"
N3,wake niwa ikanai,"must not; cannot afford to; must, have no choice but to ~","không được; không đủ khả năng; phải, không có lựa chọn nào khác ngoài ~"
N3,wari ni,considering ~; for ~; despite ~,đang cân nhắc ~; cho ~; mặc dù có mục đích ~
N3,wazato,on purpose; intentionally ~,có mục đích; cố ý ~
N3,wazawaza,to go to the trouble of; to go out of one's way to ~,đi đến rắc rối; cố gắng đạt được ~
N3,yorimo,in comparison to; rather than; more than ~,so với ; còn hơn là; hơn ~
N3,you ga nai,there is no way to; it’s impossible to ~,không có cách nào để; không thể nào ~
N3,you na ki ga suru,have a feeling that; feels like; seems like; think that ~,có cảm giác rằng; cảm thấy như thế; có vẻ như; nghĩ rằng ~
N3,you ni,"in order to, so that ~","để, để ~"
N3,you ni mieru,to look; to seem; to appear ~,nhìn ; dường như ; xuất hiện ~
N3,you to shinai,not try to; not make an effort to ~,không cố gắng; không nỗ lực để ~
N3,you to suru,try to; attempt to; be about to ~,cố gắng ; cố gắng ; sắp ~
N3,zuni,without doing ~,không làm ~
N3,zuni wa irarenai,can’t help but feel; can’t help but do; must do ~,không thể không cảm thấy; không thể không làm; phải làm ~
N3,zutsu,apiece; each; at a time,mỗi người; mỗi; tại một thời điểm
N2,ageku,to end up; in the end; finally; after all ~,kết thúc ; cuối cùng; Cuối cùng; xét cho cùng thì ~
N2,aruiwa,or; either; maybe; perhaps; possibly ~,hoặc; hoặc; Có lẽ; có lẽ; có thể ~
N2,bakari,"about, approximately ~","về, khoảng ~"
N2,bakari da,continue to (go in negative direction),tiếp tục (đi theo hướng tiêu cực)
N2,bakari ka,not only... but also; as well as ~,không chỉ... mà còn; cũng như ~
N2,bakari ni,simply because; on account of~ (negative result),"đơn giản là vì; nhân tiện, vì ~ (kết quả âm tính)"
N2,chinamini,by the way; in this connection; incidentally; (conjunction),Nhân tiện; trong mối liên hệ này; tình cờ ; (liên từ)
N2,chitto mo~nai,(not) at all; (not) in the least ~,(không có gì; (không) ít nhất là ~
N2,dake atte,being the case; precisely because; as expected from ~,là trường hợp; chính xác là vì; đúng như mong đợi từ ~
N2,dake mashi da,it’s better than; one should feel grateful for ~,nó tốt hơn; người ta nên cảm thấy biết ơn vì ~
N2,dake ni,being the case; precisely because; as one would expect,là trường hợp; chính xác là vì; như người ta mong đợi
N2,dake no koto wa aru,no wonder; as expected of; not ... for nothing; not ... with nothing to show for it,không có gì lạ; như mong đợi; không... chẳng để làm gì; không ... không có gì để thể hiện
N2,dake wa,to do all that one can,làm tất cả những điều đó một người có thể
N2,datte,because; but; after all; even; too,bởi vì; Nhưng; xét cho cùng; thậm chí; too
N2,de shika nai,merely; nothing but; no more than; there is only ~,chỉ đơn thuần là ; không có gì ngoài; không nhiều hơn; chỉ có ~
N2,dokoro dewa nai,not the time for; not the place for; far from; anything but ~,không phải lúc; không phải là nơi dành cho; xa khỏi; bất cứ điều gì ngoại trừ ~
N2,dokoro ka,far from; anything but; let alone; not to mention; much less ~,xa khỏi; bất cứ điều gì nhưng; huống chi ; chưa kể; ít hơn nhiều ~
N2,dou yara,possibly; apparently; seems like; somehow; barely ~,có thể; rõ ràng; có vẻ như; bằng cách nào đó; dù sao thì cũng chỉ ~
N2,douse,anyhow; in any case; at any rate; after all; no matter what,dù sao đi nữa; trong mọi trường hợp; bằng mọi giá; xét cho cùng; dù thế nào đi nữa
N2,enai,得ない（えない）unable to; cannot; it is not possible to ~,得ない（えない)không thể; không thể; không thể ~
N2,eru / uru,can; to be able to; is possible to ~,Có thể; có thể ; có thể ~
N2,futatabi,again; once more,lại; một lần nữa
N2,fuu ni,this way; that way; in such a way; how,theo cách này; theo cách đó; theo cách như vậy; How
N2,ga kikkake de / o kikkake ni,with… as a start; as a result of; taking advantage of ~,với… như một sự khởi đầu; bởi vì; lợi dụng ~
N2,ge,looks like; seems like; appears to ~,trông giống như; có vẻ như; có vẻ như ~
N2,gyaku ni,conversely; on the contrary ~,ngược lại; ngược lại ~
N2,hanmen,"while, although; on the other hand~","trong khi, mặc dù; mặt khác~"
N2,hatashite,as was expected; sure enough; really; actually ~,như đã được mong đợi; chắc chắn rồi; Thực ra; thực ra là ~
N2,ichiou,more or less; pretty much; roughly; tentatively ~,nhiều hay ít; khá nhiều; đại khái ; tạm thời ~
N2,igai,with the exception of; excepting ~,ngoại trừ; ngoại trừ ~
N2,ijou ni,more than; not less than; beyond ~,hơn ; không ít hơn; vượt quá ~
N2,ijou wa,because; since; seeing that ~,bởi vì; từ; chợt thấy ~
N2,ikinari,abruptly; suddenly; all of a sudden; without warning,đột ngột; đột nhiên; đột nhiên; không báo trước
N2,ikki ni,in one go; without stopping; all at once; immediately; instantly; right away ~,trong một lần; không dừng lại; tất cả cùng một lúc; ngay lập tức; ngay lập tức; ngay lập tức ~
N2,ippou de,"on one hand, on the other hand; although ~","một mặt, mặt khác; mặc dù ~"
N2,iwayuru,what is called; as it is called; the so-called; so to speak​,cái gì được gọi là; như nó được gọi; cái gọi là; có thể nói như vậy​
N2,iyoiyo,at last; finally; beyond doubt,cuối cùng; Cuối cùng; không còn nghi ngờ gì nữa
N2,jou,for the sake of; from the standpoint of; as a matter of; in terms of ~,vì lợi ích của ; từ quan điểm của; như là một vấn đề; về mặt ~
N2,ka no you ni,as if; just like ~,như thể ; giống như ~
N2,ka to omottara,just when; no sooner than ~,đúng lúc; không sớm hơn ~
N2,ka~nai ka no uchi ni,just as; right after; as soon as ~,giống như ; ngay sau đó; ngay khi ~
N2,kaette,on the contrary; rather; all the more; surprisingly ~,ngược lại; hơn là; hơn thế nữa; thật ngạc nhiên ~
N2,kagiri,as long as; while… is the case; as far as; while ~,chừng nào ; trong khi… là trường hợp đó; xa như ; trong khi ~
N2,kai ga aru,it’s worth one’s efforts to do something,nỗ lực của một người để làm điều gì đó là xứng đáng
N2,kanenai,(someone) might do something; something might happen,(ai đó) có thể làm điều gì đó; điều gì đó có thể xảy ra
N2,kaneru,unable to do something; can’t do something,không thể làm điều gì đó; không thể làm gì đó
N2,kara iu to,in terms of; from the point of view of ~,về mặt ; từ quan điểm của ~
N2,kara koso,precisely because ~,chính xác là vì ~
N2,kara miru to,from the point of view of; by the look of; judging from ~,từ quan điểm của; bởi cái nhìn của; đánh giá từ ~
N2,kara niwa,now that; since; so long as; because ~,bây giờ đó; từ; miễn là; bởi vì ~
N2,kara shite,judging from; based on; since; from; even ~,đánh giá từ ; dựa vào; từ; từ; thậm chí ~
N2,kara suru to / kara sureba,judging from; considering; by the look of ~,đánh giá từ ; xem xét; bởi cái nhìn từ ~
N2,kara to itte,just because; even if; even though ~,chỉ vì ; ngay cả khi; mặc dù ~
N2,kkonai,no chance of; … is definitely not possible,không có cơ hội; … chắc chắn là không thể
N2,koto da,should do~ (used for suggestions or giving advice),nên làm~ (dùng để gợi ý hoặc đưa ra lời khuyên)
N2,koto dakara,because; since ~,bởi vì; kể từ ~
N2,koto ka,how…!; what…!,Làm sao…!; cái gì…!
N2,koto naku,without doing something even once,không làm điều gì dù chỉ một lần
N2,koto ni,emphasize speaker's feelings; to my (surprise/etc),nhấn mạnh cảm xúc của người nói; với (ngạc nhiên/vv)
N2,koto niwa naranai,just because… doesn’t mean ~,chỉ vì… không có nghĩa là ~
N2,kuse shite,although; despite the fact that; even though ~,mặc dù; mặc dù thực tế là vậy; mặc dù ~
N2,madashimo,rather; better​ ~,hơn là; tốt hơn​ ~
N2,mai,will not; will probably not; intend not to; must not ~,sẽ không; có lẽ sẽ không; có ý định không; không được ~
N2,mama ni,"as, to do as ~","như, làm như ~"
N2,mattaku~nai,not at all ~,không hề ~
N2,mo kamawazu,without caring; without worrying about ~,không quan tâm; không cần lo lắng về ~
N2,mo touzen da,it’s only natural; no wonder; might as well ~,nó chỉ là tự nhiên thôi; không có gì lạ; cũng có thể ~
N2,mono / mon,because; indicates reason/ excuse/ dissatisfaction,bởi vì; biểu thị lý do/ lý do/ không hài lòng
N2,mono da,describe feeling; express memories; state fact,mô tả cảm giác; bày tỏ kỷ niệm; trạng thái thực tế
N2,mono dakara,so; therefore; the reason for something,Vì thế; Vì vậy; lý do của việc gì đó
N2,mono dewa nai,shouldn’t do something; it’s impossible to ~,không nên làm điều gì đó; ~
N2,mono ga aru,there is such a thing; to be the case that​; feels like ~,có một điều như vậy; có lẽ như vậy​; cảm giác như ~
N2,mono ka / mon ka,as if (something untrue were actually true); there's no way ~,như thể (điều gì đó không đúng sự thật lại thực sự đúng); không đời nào ~
N2,mono nara,"if I/we could; if [A] is possible, then [B]; if one can do something, then ~",nếu tôi/chúng tôi có thể; nếu [A] có thể thì [B]; nếu một người có thể làm điều gì đó thì ~
N2,monono,but; although; even though ~,Nhưng; mặc dù; mặc dù ~
N2,motto mo,but then; although; though ~,nhưng sau đó; mặc dù; mặc dù ~
N2,mou sukoshi de,"almost; nearly, close to ~","hầu hết; gần, gần ~"
N2,nai dewa irarenai,can’t help but feel; can’t help but do ~,không thể không cảm thấy; không thể không làm ~
N2,nai koto niwa~nai,unless you ~,trừ khi bạn ~
N2,naka o / naka dewa,in; on; in the midst of; when; while ~,TRONG; TRÊN; ở giữa ; khi; trong khi ~
N2,naku wa nai / naku mo nai,it’s not that; I may (double negative),không phải vậy; Tôi có thể (phủ định kép)
N2,nakute sumu,get by without doing ~,sống qua ngày mà không cần làm gì cả ~
N2,nani mo~nai,nothing; (not) ~ at all; there’s no need to ~,Không có gì; (không) ~ không hề; không cần phải ~
N2,nao,still; yet​; furthermore; in addition ~,vẫn; chưa​; hơn nữa; ngoài ra ~
N2,neba naranai,have to do; must; should ~,phải làm; phải; nên ~
N2,ni atatte,at the time; on the occasion of ~,vào thời điểm đó; nhân dịp ~
N2,ni hoka naranai,nothing but; none other than ~,không có gì ngoài; không ai khác ngoài ~
N2,ni kagirazu,not just; not only... but also ~,không chỉ; không chỉ... mà còn ~
N2,ni kagiru,is best; nothing is better than ~,là tốt nhất; không có gì tốt hơn chỉ ~
N2,ni kagitte,only; in particular ~,chỉ một; đặc biệt là ~
N2,ni kakawarazu,in spite of; regardless of ~,mặc dù; bất kể ~
N2,ni kakawaru,to relate to; to have to do with; relating to ~,liên quan đến ; phải làm với; chắc chắn liên quan đến ~
N2,ni kimatte iru,certainly; I’m sure/certain that; it must be the case that ~,chắc chắn; Tôi chắc chắn/chắc chắn rằng; chắc là như thế ~
N2,ni koshita koto wa nai,"it’s best that, there’s nothing better than ~",tốt nhất là không có gì tốt hơn ~
N2,ni kotaete,in response to ~,để đáp lại ~
N2,ni kuwaete,in addition ~,ngoài ra ~
N2,ni motozuite,based on; on the basis of ~,dựa vào; trên cơ sở ~
N2,ni mukatte,to face; to go towards; to head to ~,đối mặt; đi tới; hướng tới ~
N2,ni oujite,depending on; in accordance with ~,tùy thuộc vào ; theo ~
N2,ni saishite,on the occasion of; at the time of ~,nhân dịp; vào thời điểm ~
N2,ni sakidachi,before; prior to ~,trước; trước ~
N2,ni seyo/ ni shiro,even if; regardless; whether... or ~,ngay cả khi; bất kể; dù... hay ~
N2,ni shiro~ni shiro,whether… or ~,dù… hay ~
N2,ni shitara / ni sureba,from one’s perspective; from the point of view of ~,từ quan điểm của một người; từ quan điểm của ~
N2,ni shitemo~ni shitemo,regardless of whether ~,bất kể có ~
N2,ni sotte,along with; in accordance with ~,cùng với ; phù hợp với ~
N2,ni soui nai,without a doubt; certain; sure,không nghi ngờ gì nữa; chắc chắn; chắc chắn
N2,ni suginai,no more than; just; merely; only ~,không nhiều hơn; chỉ; chỉ đơn thuần là ; chỉ ~
N2,ni tomonatte,as; due to; with; along with; following; accordingly ~,BẰNG; bởi vì; với; cùng với ; tiếp theo; tương ứng ~
N2,ni tsuke,every time; whenever; as; whether; in (either case)​,mọi lúc; bất cứ khi nào; BẰNG; liệu; trong (cả hai trường hợp)​
N2,ni tsuki,due to; because of; per; each,bởi vì; vì ; mỗi; mỗi
N2,ni watatte,throughout; over a period of ~,khắp; trong khoảng thời gian ~
N2,nimo kakawarazu,despite; in spite of; nevertheless; although ~,cho dù; mặc dù; tuy nhiên; mặc dù ~
N2,nite,"in, at, with, by (formal particle)","trong, tại, với, bởi (gia từ trang trọng)"
N2,no mo motto mo da,no wonder; …is only natural,không có gì lạ; …chỉ là tự nhiên
N2,no moto de,under; with ~,dưới; với ~
N2,no ue de wa,according to; from the viewpoint of ~,theo ; chỉ từ quan điểm của ~
N2,nomi,only; nothing but​,chỉ một; không có gì ngoài​
N2,nominarazu,not only; besides; as well as ~,không chỉ; bên cạnh đó; cũng như cách chia động từ phủ định ~
N2,nu,negative verb conjugation; traditional version of ない,cách chia động từ phủ định; phiên bản truyền thống của ない
N2,nuki ni shite / nuki de,without; leaving out; cutting out ~,không có; rời đi; cắt ra ~
N2,nuku,"to do something from beginning to end; completely, extremely ~","làm điều gì đó từ đầu đến cuối; hoàn toàn, cực kỳ ~"
N2,o keiki ni,as a good opportunity/chance to; as a result of; make the best of ~,như một cơ hội/cơ hội tốt để; bởi vì; tận dụng tối đa ~
N2,o megutte,concerning; in regard to ~,liên quan đến; liên quan đến ~
N2,o moto ni,based on; derived from; building on; beginning with ~,dựa vào; bắt nguồn từ ; xây dựng trên; bắt đầu bằng ~
N2,o nozoite,except; with the exception of; excluding ~,ngoại trừ; ngoại trừ; không bao gồm ~
N2,o towazu,regardless of; irrespective of; no matter,bất kể ; bất kể ; không có vấn đề
N2,o~negau,please do; could you please…; I ask of you to ~,xin vui lòng làm; bạn có thể vui lòng…; Tôi yêu cầu bạn ~
N2,omake ni,to make matters worse; besides; what's more; in addition; on top of that​,làm cho vấn đề trở nên tồi tệ hơn; bên cạnh đó; còn gì nữa; Ngoài ra; trên hết có lẽ là
N2,osoraku,perhaps; likely; probably; I dare say ~,có lẽ; rất có thể; có lẽ; Tôi dám nói ~
N2,osore ga aru,it is feared that; to be in danger of; to be liable to ~,người ta sợ rằng; gặp nguy hiểm; chịu trách nhiệm trước ~
N2,oyobi,and; as well as ~,Và; cũng như ~
N2,roku ni~nai,not well; not enough; improperly; insufficiently; unsatisfactorily​ ~,không ổn; không đủ; không đúng cách; không đủ; không hài lòng​ ~
N2,saiwai na koto ni,fortunately; luckily; thankfully ~,may mắn thay; may mắn thay; may mắn thay ~
N2,sei ka,perhaps because ~,có lẽ vì đặc biệt là ~
N2,sekkaku,"especially; (thank you for) troubling to, going to great pains for ~","đặc biệt; (cảm ơn bạn vì) gặp rắc rối, phải chịu đựng nhiều đau đớn ít nhất là ~"
N2,semete,at least; at most ~,ít nhất; nhiều nhất là ~
N2,shidai,"as soon as, dependent upon","ngay khi, phụ thuộc vào"
N2,shidai de,depending on; so ~,tùy thuộc vào ; vì vậy ~
N2,shidai ni,gradually (progress into a state); in sequence; in order,dần dần (tiến tới một trạng thái); theo trình tự; theo thứ tự
N2,shikamo,moreover; furthermore; and yet; what’s more ~,Hơn thế nữa; hơn nữa; và chưa; còn gì nữa ~
N2,sono ue,besides; in addition; furthermore ~,bên cạnh đó; Ngoài ra; hơn nữa ~
N2,sore na noni,and yet; despite this; but even so ~,và chưa; bất chấp điều này; nhưng dù vậy ~
N2,sore nara,if that’s the case; if so ~,nếu đúng như vậy; nếu vậy thì ~
N2,sore ni shitemo,nevertheless; at any rate; even so; be that as it may ~,tuy nhiên; bằng mọi giá; thậm chí như vậy; có thể là như vậy ~
N2,sou ieba,come to think of it; now that you mention it ~,hãy nghĩ về nó; bây giờ bạn đề cập đến nó ~
N2,sou suru to,having done that; if that is done; if it is done in that way,đã làm điều đó; nếu điều đó được thực hiện; nếu nó được thực hiện theo cách đó
N2,sue ni,finally; after; following; at the end/ conclusion of ~,Cuối cùng; sau đó; tiếp theo; ở phần cuối/kết thúc của ~
N2,sukoshi mo~nai,not one bit; not even a little ~,không một chút nào; thậm chí không một chút ~
N2,sukunaku tomo,at least ~,ít nhất ~
N2,tadachi ni,at once; immediately; directly; in person; automatically ~,cùng một lúc; ngay lập tức; trực tiếp; trực tiếp; tự động ~
N2,tamae,do~; order somebody to do something,làm~; ra lệnh cho ai đó làm gì đó
N2,te bakari wa irarenai,can’t keep doing ~,không thể tiếp tục làm ~
N2,te demo,even if I have to; by all means ~,ngay cả khi tôi phải làm vậy; bằng mọi cách ~
N2,te irai,since; henceforth ~,từ; từ nay về sau ~
N2,te ite wa,if one keeps doing ~,nếu một người tiếp tục làm ~
N2,te koso,now that; since (something happened),bây giờ đó; vì (có chuyện gì đó đã xảy ra)
N2,te made,even; will go far so as to ~,thậm chí; sẽ tiến xa đến mức ~
N2,te naranai,can't help but; dying to; extremely ~,không thể không; sắp chết ; cực kỳ ~
N2,te tamaranai,can't help but; dying to; extremely ~,không thể không; sắp chết ; cực kỳ ~
N2,te touzen da,natural; as a matter of course,tự nhiên; như một lẽ đương nhiên
N2,tewa / dewa,whenever; if; when~; repetitive action,bất cứ khi nào; nếu như; khi nào~; hành động lặp đi lặp lại
N2,tewa irarenai,can’t afford to; unable to ~,không đủ khả năng; không thể ~
N2,tewa naranai,must not; cannot; should not ~,không được; không thể; không nên ~
N2,tewa~tewa,repetitive situations/actions,các tình huống/hành động lặp đi lặp lại
N2,to douji ni,at the same time as; while; simultaneously ~,đồng thời với; trong khi; đồng thời ~
N2,to itta,like; such as ~,giống; chẳng hạn như ~
N2,to iu fuu ni,in such a way that ~,theo cách mà ~
N2,to iu koto wa,that is to say; so that means; in other words ~,nghĩa là; vậy điều đó có nghĩa là; nói cách khác ~
N2,to iu mono da,something like; something called ~,một cái gì đó như; thứ gọi là ~
N2,to iu mono dewa nai,there is no guarantee that…; not necessarily ~,không có gì đảm bảo rằng…; không nhất thiết phải ~
N2,to kangaerareru,one can think that; it is conceivable that; considered ~,người ta có thể nghĩ như vậy; có thể hình dung được điều đó; đã cân nhắc ~
N2,toka (de),I heard that ~,Tôi đã nghe điều đó ~
N2,tokku ni,long ago; already; a long time ago,từ lâu rồi; đã; cách đây đã lâu
N2,tokoro datta,was just about to do something; something almost happened,vừa định làm điều gì đó; có điều gì đó gần như đã xảy ra
N2,tokoro ni,at the time; just as I was ~,vào thời điểm đó; giống như tôi ~
N2,tokoro o miru to,judging from; seeing that ~,đánh giá từ ; nhìn thấy điều đó ~
N2,tomo,"even if; no matter (who, what, when, where, why, how); though ~","ngay cả khi; bất kể (ai, cái gì, khi nào, ở đâu, tại sao, như thế nào); mặc dù ~"
N2,toshite~nai,not at all; there is not even one,không có gì; thậm chí không có một giả định nào
N2,toshitemo,assuming; even if ~,giả sử ; ngay cả khi ~
N2,tsutsu,while; even though; despite ~,trong khi; mặc dù; mặc dù ~
N2,tsutsu aru,to be doing; to be in the process of doing ~,đang làm ; đang trong quá trình thực hiện ~
N2,ue wa,now that; since; as long as ~,bây giờ đó; từ; miễn là ~
N2,wa moto yori,also; let alone; from the beginning,Mà còn; huống chi ; ngay từ đầu
N2,wa tomokaku,anyhow; anyway; regardless; in any case; whether or not ~,dù sao đi nữa; Dẫu sao thì; bất kể; trong mọi trường hợp; có hay không ~
N2,wazuka ni,slightly; only; barely; narrowly ~,nhẹ nhàng; chỉ một; vừa đủ; trong gang tấc ~
N2,yagate,before long; soon; almost; eventually ~,chẳng bao lâu nữa; sớm; hầu hết; cuối cùng ~
N2,yara~yara,such things as A and B; A and B and so on ~,"những thứ như A và B; A và B, v.v. ~"
N2,yohodo / yoppodo,very; greatly; much; to a large extent,rất; rất nhiều; nhiều; ở một mức độ lớn
N2,yori,"from~ (a time, place, or person)","từ~ (thời gian, địa điểm hoặc người)"
N2,yori hoka nai,to have no choice but ~,không có lựa chọn nào khác ngoài ~
N2,you dewa,if ~ (bad result),nếu ~ (kết quả tồi)
N2,you dewa nai ka,let’s do (something); why don’t we ~,hãy làm (điều gì đó); tại sao chúng ta không ~
N2,you ka~mai ka,whether or not; considering options,có hay không; đang xem xét các lựa chọn
N2,you suru ni,in short; in a word; to sum up; to put it simply ~,tóm lại; trong một từ; tóm lại; nói một cách đơn giản ~
N2,zaru o enai,cannot help (doing); have no choice but to ~,không thể giúp được (làm); không còn lựa chọn nào khác ngoài ~
N2,zu ni sumu,get by without doing ~,vượt qua mà không làm gì ~
N1,aete,dare to; daringly; deliberately; purposely ~,dám ; táo bạo ; cố ý; cố tình ~
N1,akumade mo,to the end; persistently; absolutely; is still very ~,đến cùng; kiên trì; tuyệt đối; vẫn rất ~
N1,an no jou,just as one thought; as usual; sure enough,đúng như một ý nghĩ; như thường lệ; chắc chắn rồi
N1,arakajime,beforehand; in advance; previously​,trước đó; trước; trước đây​
N1,atte no,which can exist solely due to the presence of; which owes everything to,có thể tồn tại chỉ nhờ sự hiện diện của; nợ tất cả mọi thứ với
N1,ba koso,only because ~,chỉ vì ~
