level,grammar_pattern,meaning_en,meaning_vi
N1,ba sore made da / tara sore made da,if… then it’s over,nếu… thì đó là over
N1,bekarazu / bekarazaru,must not; should not; do not ~,không được; không nên; đừng ~
N1,beku,in order to; for the purpose of ~,để; vì mục đích ~
N1,beku mo nai,cannot possibly be ~,không thể nào là ~
N1,beku shite,as it is bound to (happen); following the natural course,vì nó chắc chắn sẽ (xảy ra); theo quy trình tự nhiên
N1,biru / bite / bita,to seem to be; to appear; to behave as ~,dường như là vậy; xuất hiện; hành xử theo phong cách ~
N1,buri / ppuri,style; manner; way​,phong cách; thái độ; way​
N1,buru / butte / butta,assuming the air of; behaving like; to pretend / act like ~,giả sử không khí của; cư xử như thế; giả vờ / hành động như ~
N1,dani / dani shinai,even; not even ~,thậm chí; thậm chí không ~
N1,dano~dano,and; and the like; and so forth ~,Và; và những thứ tương tự; vân vân ~
N1,darou ni,"(1) surely..., but ~; although... is likely, ~ (2) should have (regret); might / must have been ~","(1) chắc chắn..., nhưng ~; mặc dù... có khả năng, ~ (2) nên có (hối tiếc); có thể / chắc phải là ~"
N1,de are / de arou to,whoever; whatever; however; even ~,bất cứ ai; bất cứ điều gì; Tuy nhiên; thậm chí ~
N1,de are~de are,whether [A] or [B],dù [A] hay [B]
N1,demo ari~demo aru,でもあり～でもあるto also be; both… and ~,でもあり～でもある cũng được; cả hai… và ~
N1,demo nan demo nai / kumo nan tomo nai,not in the least; nothing like that,không hề chút nào; không có gì giống thế
N1,denakute nan darou,must be; is definitely ~,phải thế; chắc chắn là ~
N1,dewa arumai ka,isn't it; I wonder if it’s not ~,phải không; Tôi tự hỏi có phải không ~
N1,dewa arumai shi,it’s not like; it isn’t as if ~,nó không giống như vậy; không phải như thể ~
N1,dewa sumanai,it doesn’t end with just ~; it will take more than ~,nó không kết thúc chỉ bằng ~; nó sẽ mất nhiều hơn ~
N1,dou nimo~nai,"not … by any means; no matter how hard one tries, cannot ~",không… bằng bất cứ cách nào; dù có cố gắng thế nào cũng không thể sớm hơn được; ngay khi ~
N1,ga hayai ka,no sooner than; as soon as ~,không sớm hơn; ngay khi ~
N1,"ga/mo~nara, ~mo~da",negative connection/comparison (like father like son),kết nối/so sánh tiêu cực (cha nào con nấy)
N1,gamashii,look like; sound like; approximate; similar to; somewhat like ~,trông giống như; nghe như; gần đúng; tương tự như; hơi giống ~
N1,gatera,while; on the same occasion; at the same time; coincidentally ~,trong khi; trong cùng một dịp; đồng thời; tình cờ ~
N1,gotoki / gotoku / gotoshi,like; as if; the same as ~,giống; như thể ; giống như ~
N1,gurumi,together (with); -wide,cùng (với); -wide
N1,hame ni naru,to get stuck with; to end up with (something unpleasant),bị mắc kẹt với; kết thúc với (điều gì đó khó chịu)
N1,hodo no koto dewa nai,it's not worth; no need to ~,nó không có giá trị; không cần ~
N1,hou ga mashi da,better than; would rather ~,tốt hơn ; thà ~
N1,houdai,doing as one pleases; to one's heart's content; leaving uncontrolled,làm theo ý mình; theo ý muốn của một người; rời khỏi không kiểm soát
N1,ikan da / ikan dewa / ikan ni yotte wa,in accordance with; depending on; whether or not ~,phù hợp với; tùy thuộc vào ; có hay không ~
N1,ikan ni kakawarazu / ikan ni yorazu / ikan o towazu,regardless of; whether or not; doesn't matter whether ~,bất kể ; có hay không; không quan trọng ~
N1,ikanaru,any kind of; every; whatsoever; whatever,bất kỳ loại nào; mọi; bất cứ điều gì; sao cũng được
N1,ikani,how; in what way; how much; to what extent,Làm sao; bằng cách nào; bao nhiêu; đến mức độ nào
N1,ikani mo,indeed; really; truly; just (like); very; extremely ~,thực vậy; Thực ra; thực sự ; chỉ (như); rất; cực kỳ ~
N1,izure ni shitemo / izure ni shiro / izure ni seyo,anyhow; anyway; either way; in any case ~,dù sao đi nữa; Dẫu sao thì; dù thế nào đi nữa; trong mọi trường hợp ~
N1,jimita,to become; to appear like; to look like; tainted with ~,trở thành; trông giống như; trông như thế nào; bị nhiễm độc ~
N1,ka ina ka,whether or not ~,có hay không ~
N1,ka to omoikiya,"contrary to expectations; or so we thought, but ~","trái với mong đợi; hoặc là chúng tôi nghĩ vậy, nhưng ~"
N1,kagiri da,to feel strongly,cảm thấy mạnh mẽ
N1,kai mo naku,despite; even though ~,cho dù; mặc dù ~
N1,kanousei ga aru,may/might; there’s a possibility that ~,có thể/có thể; có khả năng là ít nhất ~
N1,kara aru / kara suru / kara no,at least; as much as; as many as ~,ít nhất; nhiều như ; sớm hay muộn cũng sẽ có ~
N1,kare~kare,sooner or later; more or less,sớm hay muộn; ít nhiều
N1,katagata,while; at the same time; incidentally; for the purpose of ~,trong khi; đồng thời; tình cờ ; với mục đích ~
N1,katawara,while; besides; at the same time; in addition,trong khi; bên cạnh đó; đồng thời; ngoài ra
N1,katsute,once; before; formerly; ever; former; ex-,một lần; trước; trước đây; bao giờ; trước; ex-
N1,kirai ga aru,bad habit; to have a tendency to ~,thói quen xấu; có xu hướng ~
N1,kiri ga nai,endless; boundless; going on forever​; there’s no end to ~,vô tận; vô biên; tiếp tục mãi mãi​; không có kết thúc cho ~
N1,kitte no,the most / greatest … of all,nhất / vĩ đại nhất … trong số tất cả
N1,kiwamaru / kiwamarinai,extremely; very ~,vô cùng; mặc dù rất ~
N1,koso are,although; even though ~,mặc dù; mặc dù ~
N1,koso sure,and; although; but ~,Và; mặc dù; nhưng ~
N1,koso~ga/keredo,but; although (emphasis),Nhưng; mặc dù (nhấn mạnh)
N1,koto gotoku,altogether; entirely; completely ~,toàn bộ; toàn bộ; hoàn toàn ~
N1,koto kono ue nai / kono ue nai / kono ue naku,the most of all; the best; nothing is more ... than ~,trên hết; tốt nhất; không có gì hơn ... hơn ~
N1,koto mo atte,partly because; also because of; plus the reason for ~,một phần vì; cũng vì ; cộng với lý do ~
N1,koto nashi ni,without doing something,không làm gì đó
N1,koto no nai you ni,so as not to; to not ~,để không; không ~
N1,koto tote,because; since ~,bởi vì; kể từ ~
N1,kurai nara,rather than (do ...)​,thay vì (do ...)​
N1,kurai no mono da,only (emphasis),chỉ (nhấn mạnh)
N1,made da / made no koto da,only; just; nothing else,chỉ một; chỉ; không có gì khác
N1,made mo nai / made mo naku,there's no need to; it’s not necessary to ~,không cần phải làm vậy; không cần thiết phải ~
N1,majiki,should not; must not ~,không nên; không được ~
N1,makuru,to do over and over again; to do relentlessly,làm đi làm lại nhiều lần; làm không ngừng
N1,mamire,covered with; stained; smeared with ~,được bao phủ bởi; bị ố màu; bôi ~
N1,marukkiri,completely; absolutely; totally; (not) at all​ ~,hoàn toàn; tuyệt đối; hoàn toàn; (không) chút nào​ ~
N1,meku,seems; show signs of; to have the appearance of ~,có vẻ ; có dấu hiệu; có ngoại hình ~
N1,mo douzen da,just like; same as ~,giống như; giống như ~
N1,mo saru koto nagara,"one may well say so, but~; not only... but also ~","người ta có thể nói như vậy, nhưng~; không chỉ... mà còn ~"
N1,mo shinai de,without even doing ~,thậm chí còn không làm ~
N1,mohaya,already; now; no longer; not anymore,đã; Hiện nay; không còn nữa; không còn nữa
N1,mono de,because; for that reason,bởi vì; vì lý do đó
N1,mono o,if only; I wish; I'm sorry it's not actually (regret),"giá như ; tôi ước gì; Tôi xin lỗi, thực ra nó không phải là (hối tiếc)"
N1,mono to omowareru / mono to mirareru,to think; to suppose; it is believed/expected that ~,suy nghĩ ; cho là ; người ta tin rằng/mong đợi rằng ~
N1,mono to suru,shall; to assume; understood as ~,nên; giả định ; được hiểu là ~
N1,mono toshite,to assume; to suppose; on the presumption that ~,giả định ; cho là ; dựa trên giả định rằng ~
N1,moshikuwa,or; otherwise,hoặc; nếu không
N1,n bakari ni,as if; as though ~,như thể ; như thể ~
N1,n ga tame ni,in order to ~,để ~
N1,nagara ni / nagara no,while; during; without change; performed in this condition,trong khi; trong lúc; không thay đổi; thực hiện trong điều kiện này
N1,nai made mo,not to say; although it does not reach the level of ~,không được nói; mặc dù nó không đạt tới mức ~
N1,nai mono demo nai,is not entirely impossible,không hẳn là không thể
N1,nai mono ka / nai mono darou ka,isn't there; can’t we…?; can’t I…?,không có ở đó; chúng ta không thể…?; tôi có thể không…?
N1,nai tomo kagiranai,not necessarily; I can't say that; maybe; might ~,không nhất thiết; Tôi không thể nói điều đó; Có lẽ; có thể ~
N1,nakushite wa,cannot do without ~,không thể thiếu ~
N1,nami,average; ordinary; same level as; equal to; on par with ~,trung bình; bình thường; cùng cấp độ với; bằng ; ngang bằng ~
N1,nan to iu / nanto / nante,"how (beautiful, etc.); what a ~","thế nào (đẹp, v.v.); dù sao đi nữa thì thật là ~"
N1,nani shiro,at any rate; after all; anyhow; anyway; in any case; because; as you know ~,bằng mọi giá; xét cho cùng; dù sao đi nữa; Dẫu sao thì; trong mọi trường hợp; bởi vì; như bạn biết ~
N1,nara dewa,distinctive of; uniquely applying to; special to ~,đặc biệt của; áp dụng duy nhất cho; đặc biệt dành cho ~
N1,nara iza shirazu / wa iza shirazu,I don't know about ... but; it may be possible for ... but ~,Tôi không biết về... nhưng; có thể là ... nhưng ~
N1,nari,as soon as; right after ~,càng sớm càng; ngay sau ~
N1,nari ni / nari no,suitable; in one's own way/style,thích hợp; ít nhất là theo cách/phong cách riêng của mình
N1,nari tomo,at least; even just a little (adverbial particle),ít nhất; thậm chí chỉ là một chút (trạng từ)
N1,nari~nari,[A] or [B] or something; for instance ~,[A] hay [B] hay gì đó; ví dụ ~
N1,nashi ni / nashi de,without; without doing ~,không có; không làm ~
N1,ni,and; in addition to; the combination of ~,Và; ngoài ra; sự kết hợp của ~
N1,ni atai suru,to be worth; to be worthy of; to deserve; to merit​ ~,có giá trị; xứng đáng với; xứng đáng ; đáng khen​ ~
N1,ni atte,at; on; during; in the condition of​ ~,Tại; TRÊN; trong lúc; trong điều kiện​ ~
N1,ni hikikae,compared to; in contrast to; unlike; while; whereas ~,so sánh với ; trái ngược với ; không giống ; trong khi; trong khi ~
N1,ni itaru / ni itatta,leads to; come to a conclusion,dẫn đến ; đi đến kết luận
N1,ni itaru made,as far as; up until; everything from ... to ~,xa như ; cho đến khi ; mọi thứ từ ... đến ~
N1,ni itattemo,even if; even though; although something reached the point ~,ngay cả khi; mặc dù; mặc dù có điều gì đó đã đến mức ~
N1,ni ittate wa,when it comes to; as for ~,khi nói đến; đối với ~
N1,ni iwasereba,if you ask; if one may say ~,nếu bạn hỏi; nếu ai đó có thể nói ~
N1,ni kagitta koto dewa nai,not limited to only ~,không giới hạn chỉ ~
N1,ni kakatte wa / ni kakattara / ni kakaru to / kakareba,"when handled by (N), becomes a completely different result","khi được xử lý bởi (N), sẽ trở thành một kết quả hoàn toàn khác"
N1,ni kakatteiru,depending on; to depend on; whether or not,tùy thuộc vào ; phụ thuộc vào; có hay không
N1,ni kako tsukete,to use as a pretext; to use as an excuse,dùng làm cớ; lấy cớ
N1,ni kamakete,to be too busy; to focus / concentrate only on ~,quá bận rộn; tập trung / chỉ tập trung vào ~
N1,ni katakunai,"easy to do; it’s not hard to (imagine, understand, guess)","dễ làm; không khó để (tưởng tượng, hiểu, đoán)"
N1,ni matsuwaru,to be related to; to concern; associated with ~,có liên quan đến; quan tâm; được liên kết với ~
N1,ni nottotte,based on; according to; in accordance with ~,dựa vào; theo ; theo ~
N1,ni sakigakete,prior to; to be the first (pioneer); being ahead of ~,trước ; là người đầu tiên (người tiên phong); đi trước ~
N1,ni shinobinai,cannot bring oneself (to do); unable to bear ~,không thể tự mình làm được; không thể chịu nổi ~
N1,ni shita tokoro de / to shita tokoro de,even if; even supposing that ~,ngay cả khi; thậm chí giả sử rằng ~
N1,ni shite,"at / on / under certain conditions (time, position, age, number of times)","tại / trên / trong những điều kiện nhất định (thời gian, vị trí, tuổi, số lần)"
N1,ni sokushite,according to; in keeping with; to be based on ~,theo ; phù hợp với; dựa trên ~
N1,ni taeru / ni taenai,worth doing; can do; cannot bear doing ~,đáng làm; có thể làm được; không chịu được việc làm ~
N1,ni taranai / ni tarinai,cannot; not worthy; not worth doing ~,không thể; không xứng đáng; không đáng làm ~
N1,ni taru / ni tariru,can do; worthy; worth doing,có thể làm được; xứng đáng; đáng làm
N1,ni terashite,according to; in view of; in light of ~,theo ; theo quan điểm của ; dựa trên ~
N1,ni todomarazu,not limited to; not only… but also ~,không giới hạn; không chỉ… mà còn ~
N1,ni wa muri ga aru,difficult to do; is unreasonable / unrealistic / impossible,khó thực hiện; là không hợp lý / không thực tế / không thể
N1,ni yorazu,regardless of ~,bất kể ~
N1,ni~o kasanete,"success after continuous (effort, work, adjustments, etc.)","thành công sau khi liên tục (nỗ lực, công việc, điều chỉnh, v.v.)"
N1,nimo hodo ga aru,there is a limit to what is acceptable; to go too far,có giới hạn cho những gì có thể chấp nhận được; đi quá xa
N1,nimo mashite,more than…; above ~,hơn…; trên ~
N1,niwa ataranai,it’s not worth; there’s no need to; does not correspond to ~,nó không có giá trị; không cần thiết; không tương ứng với ~
N1,niwa oyobanai,there is no need to; unnecessary; no match for ~,không cần phải làm vậy; không cần thiết; không sánh được với ~
N1,no itari,utmost; extremely ~,tối đa; cực kỳ ~
N1,no kiwami,utmost; extremely ~,tối đa; cực kỳ ~
N1,no nan notte,extremely ~ (cannot be expressed in words),cực kỳ ~ (không thể diễn tả bằng lời)
N1,no yara / mono yara / koto yara,I wonder...; unsure; I don’t know ~,Tôi tự hỏi...; không chắc chắn; Tôi không biết ~
N1,no yara~no yara,or ~ (I don't know),hoặc ~ (tôi không biết)
N1,o fumaete,to be based on; to take into account ~,dựa vào; có tính đến ~
N1,o hete,through; by way of; after; via ~,bởi vì; bằng cách ; sau đó; qua ~
N1,o hikaete,to be soon; the time has come to; nearby; ahead of ~,sắp có ; thời điểm đã đến; gần đó; trước ~
N1,o ii koto ni,to take advantage of ~,để tận dụng ~
N1,o kaerimizu / mo kaerimizu,despite; without considering; not worrying about; regardless of ~,cho dù; không cân nhắc; không lo lắng về; bất kể ~
N1,o kagiri ni,starting from; the last time (ending a continued action),bắt đầu từ ; lần cuối cùng (kết thúc một hành động đang tiếp diễn)
N1,o kanete,also for the purpose of ~,cũng vì mục đích ~
N1,o kawakiri ni,one after another; starting with ~,cái này đến cái khác; bắt đầu với ~
N1,o ki ni,as an opportunity/chance to ~,như một cơ hội/cơ hội để ~
N1,o kinji enai,can’t help but; can’t refrain from ~,không thể không; không thể kiềm chế ~
N1,o mono tomo sezuni,in defiance of; not losing to / afraid / worrying about ~,bất chấp ; không thua / sợ / lo lắng về ~
N1,o motte / o mochimashite,by means of; with; on / at / as of (time)​,bằng cách; với; on / at / as of (thời gian)​
N1,o oite~nai,"only; can only be; there is no alternative, only ~","chỉ một; chỉ có thể được; không có lựa chọn nào khác, chỉ có ~"
N1,o oshite / o oshikitte,to overcome (opposition); to push past ~,vượt qua (sự phản đối); vượt qua ~
N1,o sakai ni,since ~ (indicates a large change before & after),vì ~ (biểu thị sự thay đổi lớn trước và sau)
N1,o yogi naku sareru,to be forced to do something because one has no other choice,bị buộc phải làm điều gì đó vì không còn lựa chọn nào khác
N1,o yoso ni,despite; without regards to ~,cho dù; không liên quan đến ~
N1,o zentei toshite,with the intention to; on the condition / assumption ~,với ý định; về điều kiện/giả định ~
N1,omoi o suru,to think; to feel ~,suy nghĩ ; cảm thấy ~
N1,ori ni,when; at the time; on the occasion ~,khi; vào thời điểm đó; nhân dịp này ~
N1,oyoso,about; roughly; generally; approximately; completely​ ~,Về; đại khái ; nói chung là; khoảng; hoàn toàn​ ~
N1,sa,ending particle; indicates assertion,hạt kết thúc; biểu thị khẳng định
N1,samo,"really (seem, appear, etc.); truly; as if ~","thực sự (dường như, xuất hiện, v.v.); thực sự ; như thể ~"
N1,samonaito,otherwise; or else; if not ~,nếu không thì; hoặc cách khác; nếu không thì chắc chắn là ~
N1,sazo,surely; certainly; no doubt; indeed​ ~,chắc chắn ; chắc chắn; không còn nghi ngờ gì nữa; quả thực ~
N1,shimatsu da,end up; in the end; as a result (negative),kết thúc ; cuối cùng; kết quả là (tiêu cực)
N1,soba kara,as soon as; right after​ ~,càng sớm càng; ngay sau​ ~
N1,sobireru,to miss a chance; to fail to do ~,bỏ lỡ một cơ hội; không làm được ~
N1,sokonau / sokoneru / sonjiru,to do something wrong; by mistake; to miss a chance; to fail to ~,làm điều gì sai trái; do nhầm lẫn; bỏ lỡ một cơ hội; thất bại ~
N1,sube ga nai,there is no way / means; cannot do ~,không có cách nào/phương tiện; không thể làm được ~
N1,sura / de sura,even ~ (with emphasis),thậm chí ~ (có nhấn mạnh)
N1,ta hazumi ni / ta hyoushi ni,"the moment [A], unintentionally / inadvertently caused something to happen","khoảnh khắc [A], vô tình/ vô tình gây ra chuyện gì đó"
N1,ta koto ni suru / ta koto ni naru,pretend to; see things as untrue; contrary to the truth ~,giả vờ ; xem mọi thứ là không đúng sự thật; trái ngược với sự thật ~
N1,ta tokoro de,"even if; no matter (who, what, when, where, why, how)","ngay cả khi; bất kể (ai, cái gì, khi nào, ở đâu, tại sao, thế nào)"
N1,ta tsumori wa nai,have no intention to / didn't mean to ~,không có ý định / không cố ý ~
N1,tada~nomi da,all we can do is; can do nothing but; only ~,tất cả những gì chúng ta có thể làm là; không thể làm gì khác ngoài; chỉ có ~
N1,tameshi ga nai,is never the case; has never happened; I have never seen or heard of ~,không bao giờ như vậy; chưa bao giờ xảy ra; Tôi chưa bao giờ thấy hay nghe đến ~
N1,tara saigo / taga saigo,if you do... negative result,nếu bạn làm vậy... phủ định result
N1,tara~tade,if / in the case... of course / should ~,nếu / trong trường hợp... tất nhiên / nên ~
N1,tara~tokoro da,"if... (counterfactual condition), then would be ~","nếu... (điều kiện phản thực), thì sẽ là ~"
N1,tari tomo,not even; not any ~,thậm chí không; không có ~
N1,taru mono / taru,(those) who are; (that) which is; in the capacity of ... should ~,(những) ai; (cái đó) đó là; trong khả năng của ... nên ~
N1,te kanawanai,can't bear to; unable to; troublesome to; can’t stand to ~,không thể chịu được; không thể ; rắc rối ; không thể chịu được ~
N1,te kara to iu mono,ever since ~,kể từ ~
N1,te miseru,I’ll do my best; I'll definitely do; I'll show you ~,Tôi sẽ cố gắng hết sức; Tôi chắc chắn sẽ làm được; Tôi sẽ cho bạn xem ~
N1,te shikaru beki da,should; appropriate; it is natural to do ~,nên; phù hợp; việc làm ~
N1,te sumu koto dewa nai,~ is not enough to solve the problem; cannot be resolved by ~,~ không đủ để giải quyết vấn đề; không thể giải quyết được bằng ~
N1,te yamanai,always; never stop; can’t help but ~,luôn luôn; không bao giờ dừng lại; không thể không ~
N1,temae,considering; before; in front of; one’s standpoint,xem xét; trước; ở phía trước; quan điểm của một người
N1,temo dou ni mo naranai,it's no use; can't do anything,nó không có ích gì; không thể làm gì được
N1,temo sashitsukaenai,can ~; it’s okay if ~ (indicates permission or compromise),có thể ~; sẽ ổn thôi nếu ~ (biểu thị sự cho phép hoặc thỏa hiệp)
N1,temo shiranai,if (you) continue... you'll end up / I don't care about it,nếu (bạn) tiếp tục... bạn sẽ kết thúc / Tôi không quan tâm đến điều đó
N1,to aimatte,"together with..., more; because of the influence of..., more ~","cùng với..., thêm; vì ảnh hưởng của..., thêm ~"
N1,to areba,if it is the case that; if ~,nếu đúng như vậy; if ~
N1,to atte,due to the fact that; because of ~,vì thực tế là; bởi vì ~
N1,to bakari ni,as if to say; as though~,như muốn nói; như thể~
N1,to ie domo,even if; even though; despite ~,ngay cả khi; mặc dù; mặc dù ~
N1,to ienaku mo nai,one can even say that; it can also be said that ~,người ta thậm chí có thể nói như vậy; cũng có thể nói như vậy ~
N1,to ii~to ii,both ... and; not only ... also; whether it be ... or ~,cả ... và; không chỉ ... còn; cho dù đó là ... hay ~
N1,to ittara nai,extremely; very; nothing more ... than this; as ... as it could possibly be,vô cùng; rất; không có gì hơn ... ngoài điều này; như ... vì nó có thể là
N1,to iu,all; every single ~ (no exceptions),tất cả; mỗi ~ (không có ngoại lệ)
N1,to iu ka~to iu ka,or rather; or perhaps I should say; I mean ~,hay đúng hơn là; hoặc có lẽ tôi nên nói; Ý tôi là ~
N1,to iu mono,during; for; since; over a period of time,trong lúc; vì; từ; trong một khoảng thời gian
N1,to iu tokoro da / to itta tokoro da,at the most; no more than​; at best; roughly; about ~,nhiều nhất; không nhiều hơn; tốt nhất là; đại khái ; khoảng ~
N1,to iu wake da,that's why; no wonder; this means; it is the case that ~,đó là lý do tại sao; không có gì lạ; điều này có nghĩa là; đó là trường hợp ~
N1,to iu wake dewa nai,it’s not that; it doesn’t mean that ~,không phải vậy; nó không có nghĩa là ~
N1,to iwazu~to iwazu,"both; not only A or B, but (overall) ~","cả hai; không chỉ A hoặc B, mà (tổng thể) ~"
N1,to kiteiru,because of ~,bởi vì ~
N1,to miru to,"as soon as one realizes ..., then ~","ngay khi người ta nhận ra ..., thì ~"
N1,to miru ya,at the sight of; upon seeing; after confirming ~,khi nhìn thấy; khi nhìn thấy; sau khi xác nhận ~
N1,to naru to / to nareba,when it comes to; in such a case; if that happens,khi nói đến; trong trường hợp như vậy; nếu điều đó xảy ra
N1,to sareru,is considered to; it is said that ~,được coi là; người ta nói rằng ~
N1,tokitara,when it comes to; concerning ~,khi nói đến; liên quan đến ~
N1,tokoro o,although (it is a certain time/condition); even though normally,mặc dù (đó là thời gian/điều kiện nhất định); mặc dù bình thường
N1,tomo arou mono ga,of all people (expression showing surprise at a high standing person's misbehavior),của tất cả mọi người (biểu hiện ngạc nhiên trước hành vi sai trái của một người có địa vị cao)
N1,tomo naku / tomo nashi ni,somehow; without knowing; without thinking; unconsciously​ ~,bằng cách nào đó; mà không biết; không suy nghĩ; một cách vô thức​ ~
N1,tomo sureba,apt to (do); tend to; liable to; prone to ~,thích (làm); có xu hướng ; chịu trách nhiệm ; thiên về ~
N1,tomo~tomo,unable to draw a conclusion; unable to judge,không thể đưa ra kết luận; đặc biệt là không thể đánh giá
N1,toriwake,especially; above all ~,đặc biệt; trên hết ~
N1,toshita koto ga,"of all people, who would have thought?","trong số tất cả mọi người, ai có thể nghĩ tới?"
N1,tossa ni,at once; right away; promptly,cùng một lúc; ngay lập tức; kịp thời
N1,tote,even; even if/though ~,thậm chí; ngay cả khi/mặc dù ~
N1,towa,I didn't know; I was surprised that; the fact that ~,Tôi không biết; Tôi rất ngạc nhiên về điều đó; thực tế là ~
N1,towa ie,though; although; be that as it may; nonetheless,mặc dù; mặc dù; có thể như vậy; dù sao
N1,towa kurabemono ni naranai,can't compare with ~,không thể so sánh với ~
N1,towa utte kawatte / to wa utte kawari,unlike; totally different; very different from ~,không giống ; hoàn toàn khác; rất khác với ~
N1,tsu~tsu,and ~ (indicates two contrasting actions),và ~ (biểu thị hai hành động tương phản)
N1,tsukusu,to use up (completely without anything remaining); to exhaust; to run out of ~,sử dụng hết (hoàn toàn không còn gì); kiệt sức; hết ~
N1,tteba / ttara,speaking of; I told you already; come on (annoyance / dissatisfaction),nói về ; Tôi đã nói với bạn rồi; thôi nào (khó chịu / không hài lòng)
N1,uchi ni hairanai,not really; can't be regarded as ~,"không thực sự; tuy nhiên, không thể coi là ~"
N1,wa,feminine sentence ending particle,"Tuy nhiên, trợ từ kết thúc câu giống cái"
N1,wa dou de are,however; whatever​ ~,Tuy nhiên; sao cũng được ~
N1,wa oroka,let alone; not to mention; needless to say ~,huống chi ; chưa kể; không cần phải nói ~
N1,wa sateoki,setting aside ~,dành ~
N1,wa socchinoke de / o socchinoke de,ignoring (one thing) for (another)​​; instead of ~,phớt lờ (điều này) vì (điều khác); thay vì ~
N1,wa~wade,and (listing negative things happening at the same time),và (liệt kê những điều tiêu cực xảy ra cùng lúc)
N1,ya ina ya,as soon as; the moment ~,càng sớm càng; thời điểm ~
N1,ya shinai,"should do, but don't; absolutely not; there's no way ~","nên làm, nhưng không; hoàn toàn không; không có cách nào ~"
N1,yare~yare,pattern to give two representative examples (usually negative),mẫu đưa ra hai ví dụ tiêu biểu (thường phủ định)
N1,you ga / you to,even if; no matter how/what ~,ngay cả khi; dù thế nào/có chuyện gì ~
N1,you ga~you ga / you to~you to,no matter; whether; even if [A] or [B],không vấn đề gì; liệu; ngay cả khi [A] hoặc [B]
N1,you ni yotte wa / you dewa,depending on the way; depending on how; according to how ~,tùy theo cách; tùy theo cách thức; theo như thế nào ~
N1,you nimo~nai,even if I wanted to… I couldn’t ~,ngay cả khi tôi muốn… tôi cũng không thể ~
N1,you to~mai to / you ga~mai ga,whether or not; regardless,có hay không; bất chấp
N1,yue ni,therefore; consequently​; because of; due to ~,Vì vậy; do đó​; vì ; do ~
N1,zo / ze,ending particle; adds force or indicates command,hạt kết thúc; thêm lực lượng hoặc ra lệnh
N1,zu jimai,ended up not doing ~,cuối cùng lại không làm gì ~
N1,zu niwa okanai / nai dewa okanai,will definitely/certainly do something; cannot not ~,chắc chắn/chắc chắn sẽ làm điều gì đó; không thể không ~
N1,zu niwa sumanai / nai dewa sumanai,must; will definitely; can’t help but to ~,phải; chắc chắn sẽ ; không thể không ~
N1,zu tomo,even without doing; even without being​ ~,ngay cả khi không làm; ngay cả khi không có​ ~
N1,zukume,completely; entirely; nothing but ~,hoàn toàn; toàn bộ; không có gì ngoài ~
